"","SEQN","SDDSRVYR","RIDSTATR","RIAGENDR","RIDAGEYR","RIDAGEMN","RIDRETH1","RIDRETH3","RIDEXMON","DMDBORN4","DMDYRUSZ","DMDEDUC2","DMDMARTZ","RIDEXPRG","SIALANG","SIAPROXY","SIAINTRP","FIALANG","FIAPROXY","FIAINTRP","MIALANG","MIAPROXY","MIAINTRP","AIALANGA","WTINTPRP","WTMECPRP","SDMVPSU","SDMVSTRA","INDFMPIR"
"13246",122508,66,1,1,12,NA,4,4,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,7287.793358,0,1,168,2.82
"13247",122509,66,2,1,41,NA,4,4,1,1,NA,3,1,NA,1,2,2,1,2,2,1,2,2,1,5812.904761,6051.954819,2,150,2.28
"13248",122510,66,2,2,2,NA,4,4,1,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,4109.135609,4466.812299,1,152,2.34
"13249",122511,66,2,1,60,NA,3,3,1,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,12045.401717,12363.612599,1,162,NA
"13250",122512,66,2,2,37,NA,5,7,1,2,2,5,1,2,1,2,2,1,2,2,1,2,2,1,71682.254901,77179.053383,2,155,5
"13251",122513,66,2,2,28,NA,4,4,2,1,NA,4,3,2,1,2,2,1,2,2,1,2,2,1,12919.225637,13953.891481,1,163,0
"13252",122514,66,2,1,19,NA,3,3,1,1,NA,NA,NA,NA,1,2,2,1,2,2,1,2,2,1,39136.537212,43455.793619,2,157,1.35
"13253",122515,66,2,2,0,9,3,3,1,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,5789.249014,6125.628529,1,156,NA
"13254",122516,66,2,2,45,NA,4,4,1,1,NA,2,1,NA,1,2,2,1,2,2,1,2,2,1,11494.038834,12053.855682,1,152,0.05
"13255",122517,66,2,2,67,NA,4,4,1,1,NA,4,2,NA,1,2,2,1,2,2,1,2,2,1,10160.162845,10612.156776,2,157,2.16
"13256",122518,66,1,2,3,NA,2,2,NA,1,NA,NA,NA,NA,1,1,2,1,2,2,NA,NA,NA,NA,21310.205251,0,1,153,2.28
"13257",122519,66,2,2,9,NA,1,1,1,1,NA,NA,NA,NA,2,1,2,2,2,2,1,2,2,NA,9674.866934,10228.455751,2,161,NA
"13258",122520,66,2,1,54,NA,3,3,1,1,NA,4,1,NA,1,2,2,1,2,2,1,2,2,1,72218.925956,78010.749276,2,154,5
